Town;Area;Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Abadín;196.000;43.370;-7.490;ES11;ES112;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;208.860;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510;243.510
Abla;45.200;37.160;-2.770;ES61;ES611;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000;38.000
Ablitas;77.500;41.960;-1.590;ES22;ES220;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;41.580;41.580;41.580;41.580;41.580;41.580;41.580
Abrucena;83.700;37.130;-2.830;ES61;ES611;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000;12.000
Adradas;67.500;41.350;-2.490;ES41;ES417;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450;121.450
Agón;18.500;41.850;-1.440;ES24;ES243;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;20.625;29.555;29.555;29.555;29.555;29.555;29.555;29.555;29.555;29.555;29.555;29.555;29.555;29.555
Ágreda;164.900;41.850;-1.900;ES41;ES417;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000;18.000
Aguilar de Campoo;235.300;42.790;-4.280;ES41;ES414;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600;9.600
Aguilar de Codés;18.700;42.610;-2.380;ES22;ES220;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000;83.000
Aguilón;59.500;41.290;-1.020;ES24;ES243;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;86.000;96.000;96.000;96.000;96.000;116.980;116.980;116.980;116.980;116.980;116.980;116.980;166.380;166.380
